CODPRODUTO;DESCRICAO;CODBARRAS;TAMANHO;QTDE;PREÇO
900001;BODY MANGA CURTA ROSA BLOOM TESTE 001;7899009000010;RN;3;39.9
900001;BODY MANGA CURTA ROSA BLOOM TESTE 001;7899009000011;P;5;44.9
900002;MACACAO PLUSH AZUL COLECAO DEV 002;7899009000020;P;10;56.9
900002;MACACAO PLUSH AZUL COLECAO DEV 002;7899009000021;M;12;61.9
900002;MACACAO PLUSH AZUL COLECAO DEV 002;7899009000022;G;14;66.9
900003;VESTIDO FLORAL AMARELO LINHA MINI 003;7899009000030;1;17;73.9
900003;VESTIDO FLORAL AMARELO LINHA MINI 003;7899009000031;2;19;78.9
900004;CONJUNTO CAMISETA E SHORT VERDE MODELO 2027 004;7899009000040;1;6;90.9
900004;CONJUNTO CAMISETA E SHORT VERDE MODELO 2027 004;7899009000041;2;8;95.9
900004;CONJUNTO CAMISETA E SHORT VERDE MODELO 2027 004;7899009000042;3;10;100.9
900005;BLUSA BASICA LILAS BLOOM TESTE 005;7899009000050;1;13;107.9
900005;BLUSA BASICA LILAS BLOOM TESTE 005;7899009000051;2;15;112.9
900006;CALCA SARJA BEGE COLECAO DEV 006;7899009000060;1;20;124.9
900006;CALCA SARJA BEGE COLECAO DEV 006;7899009000061;2;4;129.9
900006;CALCA SARJA BEGE COLECAO DEV 006;7899009000062;3;6;134.9
900007;SHORT SARJA OFF WHITE LINHA MINI 007;7899009000070;1;9;141.9
900007;SHORT SARJA OFF WHITE LINHA MINI 007;7899009000071;2;11;146.9
900008;CASACO MOLETOM CINZA MODELO 2027 008;7899009000080;2;16;158.9
900008;CASACO MOLETOM CINZA MODELO 2027 008;7899009000081;3;18;163.9
900008;CASACO MOLETOM CINZA MODELO 2027 008;7899009000082;4;20;168.9
900009;PIJAMA SUEDINE MARINHO BLOOM TESTE 009;7899009000090;1;5;175.9
900009;PIJAMA SUEDINE MARINHO BLOOM TESTE 009;7899009000091;2;7;180.9
900010;JARDINEIRA JEANS TERRACOTA COLECAO DEV 010;7899009000100;1;12;192.9
